"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 02-Jun-2021","1W AGO 
 28-May-2021","1M AGO 
 04-May-2021","1Y AGO 
 03-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 03-Jun-2020","30 D % CHNG 
 04-May-2021"
"NIFTY 50","15,670.25","-0.13","15,712.50","15,733.60","15,622.35","15,690.35","15,576.20","15,435.65","14,496.50","10,061.55","15,733.60","9,544.35","55.94","8.24"
"NIFTY NEXT 50","38,914.50","0.46","38,872.15","38,945.10","38,696.40","38,736.35","38,379.95","37,394.45","34,921.45","24,745.20","38,945.10","23,907.35","56.54","10.92"
"NIFTY 100","15,945.85","-0.04","15,980.90","16,000.00","15,897.15","15,952.65","15,832.20","15,650.35","14,683.70","10,220.25","16,000.00","9,719.65","56.09","8.64"
"NIFTY 200","8,302.70","0.05","8,315.45","8,327.70","8,275.05","8,298.25","8,233.75","8,134.30","7,634.25","5,198.70","8,327.70","4,957.00","59.62","8.70"
"NIFTY 500","13,393.90","0.10","13,412.75","13,433.60","13,352.15","13,380.50","13,274.25","13,117.05","12,300.45","8,203.00","13,433.60","7,839.15","63.12","8.78"
"NIFTY MIDCAP 50","7,414.50","0.91","7,363.10","7,421.00","7,338.15","7,347.35","7,280.40","7,200.00","6,685.85","3,880.35","7,421.00","3,776.85","89.35","9.89"
"NIFTY MIDCAP 100","26,551.60","0.72","26,472.35","26,571.85","26,365.95","26,362.55","26,118.00","25,695.10","24,167.80","13,924.30","26,571.85","13,576.55","89.33","9.08"
"NIFTY SMALLCAP 100","9,475.10","0.37","9,497.20","9,525.35","9,465.80","9,440.35","9,327.75","9,254.15","8,580.90","4,278.15","9,525.35","4,206.55","120.66","10.02"
"INDIA VIX","15.94","1.23","15.75","16.38","14.94","15.75","17.21","17.40","23.01","30.04","35.31","14.05","-47.59","-31.57"
"NIFTY MIDCAP 150","9,974.00","0.67","9,949.65","9,987.45","9,919.80","9,907.55","9,822.00","9,675.45","9,137.85","5,305.55","9,987.45","5,165.35","86.74","8.42"
"NIFTY SMALLCAP 50","4,740.40","0.41","4,756.35","4,769.95","4,734.10","4,720.90","4,660.60","4,603.70","4,270.10","2,014.20","4,769.95","1,969.80","134.38","10.56"
"NIFTY SMALLCAP 250","8,181.00","0.52","8,187.85","8,206.30","8,167.50","8,138.80","8,048.60","7,971.90","7,317.65","3,781.45","8,206.30","3,720.50","115.23","11.22"
"NIFTY MIDSMALLCAP 400","9,329.45","0.62","9,316.10","9,344.15","9,290.65","9,271.60","9,184.60","9,062.75","8,485.30","4,756.50","9,344.15","4,645.15","94.92","9.27"
"NIFTY BANK","35,291.65","-1.00","35,657.85","35,810.90","35,176.15","35,649.00","35,373.75","35,141.45","32,270.35","20,940.70","37,708.75","19,507.05","70.24","10.47"
"NIFTY AUTO","10,735.75","0.83","10,672.85","10,749.15","10,634.90","10,647.65","10,647.75","10,510.25","9,577.70","6,498.65","11,093.15","6,074.15","63.84","11.17"
"NIFTY FINANCIAL SERVICES","16,744.20","-0.22","16,794.40","16,866.30","16,677.10","16,780.65","16,621.35","16,495.30","15,401.60","10,384.50","17,654.45","9,585.50","61.59","8.95"
"NIFTY FINANCIAL SERVICES 25/50","16,644.70","0.14","16,646.15","16,719.85","16,556.10","16,620.85","16,484.20","16,310.45","15,311.40","-","-","-","-","8.55"
"NIFTY FMCG","35,138.00","-0.36","35,330.65","35,330.65","35,092.10","35,266.50","35,058.60","34,890.50","33,822.75","29,527.00","35,442.85","28,319.10","19.44","4.27"
"NIFTY IT","26,996.75","0.03","27,031.60","27,167.50","26,914.60","26,987.90","26,939.65","27,122.80","25,489.00","14,361.70","27,524.60","14,123.55","87.92","5.88"
"NIFTY MEDIA","1,817.95","1.02","1,801.65","1,822.00","1,791.60","1,799.65","1,770.55","1,785.75","1,525.65","1,267.25","1,830.95","1,233.50","42.01","17.96"
"NIFTY METAL","5,339.15","1.35","5,259.45","5,360.75","5,235.50","5,268.05","5,233.30","5,055.75","4,921.65","1,952.70","5,524.25","1,872.40","169.78","7.04"
"NIFTY PHARMA","14,101.55","-0.09","14,150.25","14,156.65","14,050.45","14,114.40","14,151.85","13,934.10","13,234.75","9,864.05","14,282.90","9,687.95","43.09","6.65"
"NIFTY PSU BANK","2,491.65","-0.16","2,497.35","2,511.95","2,479.10","2,495.75","2,485.55","2,443.20","2,113.15","1,284.45","2,660.60","1,232.55","94.30","18.11"
"NIFTY PRIVATE BANK","18,523.35","-0.81","18,704.40","18,771.75","18,450.60","18,674.30","18,543.05","18,492.55","17,274.45","11,485.10","20,068.55","10,702.20","62.60","8.10"
"NIFTY REALTY","353.80","0.48","355.30","356.80","351.40","352.10","339.25","331.60","306.25","200.85","365.60","192.40","75.30","14.97"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,259.35","0.29","3,253.55","3,261.15","3,246.70","3,249.95","3,226.35","3,212.30","3,040.30","2,173.90","3,261.15","2,122.70","49.50","6.90"
"NIFTY GROWTH SECTORS 15","7,535.10","-0.35","7,575.20","7,576.20","7,521.00","7,561.80","7,539.50","7,498.15","7,108.05","5,126.95","7,694.25","4,812.75","47.49","6.38"
"NIFTY100 QUALITY 30","3,547.35","-0.23","3,558.70","3,564.25","3,538.55","3,555.60","3,523.25","3,495.45","3,267.10","2,407.35","-","-","47.70","8.83"
"NIFTY50 VALUE 20","7,838.20","0.22","7,833.00","7,846.30","7,812.00","7,821.25","7,784.85","7,775.70","7,387.80","4,903.85","7,846.30","4,758.55","59.49","5.87"
"NIFTY50 TR 2X LEVERAGE","9,925.70","-0.26","9,979.35","10,005.75","9,865.10","9,952.05","9,804.80","9,606.45","8,497.20","4,266.25","10,005.75","3,828.05","133.27","17.12"
"NIFTY50 PR 2X LEVERAGE","7,401.10","-0.26","7,441.05","7,460.75","7,355.90","7,420.75","7,314.20","7,186.70","6,360.80","3,251.25","7,460.75","2,917.00","128.24","16.66"
"NIFTY50 TR 1X INVERSE","241.95","0.14","241.30","242.70","240.95","241.60","243.45","245.90","261.70","380.45","400.55","240.95","-36.50","-7.68"
"NIFTY50 PR 1X INVERSE","280.05","0.14","279.30","280.90","278.95","279.65","281.70","284.15","302.35","435.55","458.55","278.95","-35.79","-7.51"
"NIFTY50 DIVIDEND POINTS","37.38","-","37.38","37.38","37.38","37.38","33.83","11.40","6.67","11.71","-","-","219.21","460.42"
