"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 12-Oct-2021","1W AGO 
 07-Oct-2021","1M AGO 
 13-Sep-2021","1Y AGO 
 13-Oct-2020","52W H 
","52W L 
","365 D % CHNG 
 13-Oct-2020","30 D % CHNG 
 13-Sep-2021"
"NIFTY 50","18,338.55","0.97","18,272.85","18,350.75","18,248.70","18,161.75","18,161.75","17,895.20","17,380.00","11,971.05","18,350.75","11,535.45","53.19","5.52"
"NIFTY NEXT 50","44,597.40","0.86","44,444.35","44,860.15","44,427.75","44,217.25","44,217.25","43,270.70","43,041.95","27,383.45","44,860.15","26,856.15","62.86","3.61"
"NIFTY 100","18,610.35","0.96","18,543.05","18,621.60","18,525.80","18,433.20","18,433.20","18,141.70","17,678.45","12,039.05","18,621.60","11,646.90","54.58","5.27"
"NIFTY 200","9,751.25","0.92","9,723.20","9,756.85","9,711.30","9,662.45","9,662.45","9,495.70","9,222.30","6,142.45","9,756.85","5,964.60","58.75","5.74"
"NIFTY 500","15,769.25","0.88","15,733.30","15,781.00","15,710.10","15,631.40","15,631.40","15,365.20","14,904.35","9,763.40","15,781.00","9,500.70","61.51","5.80"
"NIFTY MIDCAP 50","8,936.15","0.96","8,944.45","9,002.85","8,913.00","8,851.20","8,851.20","8,592.15","8,017.20","4,649.45","9,002.85","4,540.95","92.20","11.46"
"NIFTY MIDCAP 100","32,503.50","0.65","32,564.40","32,722.55","32,456.45","32,294.15","32,294.15","31,437.75","29,871.65","16,886.25","32,722.55","16,559.00","92.49","8.81"
"NIFTY SMALLCAP 100","11,595.90","0.60","11,616.60","11,644.20","11,574.70","11,526.45","11,526.45","11,305.70","10,775.90","5,859.90","11,644.20","5,705.30","97.89","7.61"
"INDIA VIX","15.77","-2.06","16.10","16.29","12.61","16.10","16.10","15.65","13.58","20.21","29.65","9.03","-21.98","16.15"
"NIFTY MIDCAP 150","12,096.40","0.62","12,117.85","12,172.35","12,085.35","12,021.60","12,021.60","11,770.30","11,219.15","6,429.15","12,172.35","6,319.40","88.15","7.82"
