"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 17-Jun-2021","1W AGO 
 14-Jun-2021","1M AGO 
 21-May-2021","1Y AGO 
 19-Jun-2020","52W H 
","52W L 
","365 D % CHNG 
 19-Jun-2020","30 D % CHNG 
 21-May-2021"
"NIFTY 50","15,860.35","0.44","15,839.35","15,870.80","15,772.30","15,790.45","15,790.45","15,683.35","15,301.45","10,288.90","15,901.60","10,562.65","54.15","3.65"
"NIFTY NEXT 50","38,603.45","0.68","38,436.50","38,647.25","38,341.90","38,340.90","38,340.90","38,315.15","37,192.85","25,931.05","39,399.60","25,614.15","48.87","3.79"
"NIFTY 100","16,087.20","0.47","16,058.95","16,097.20","15,998.55","16,011.55","16,011.55","15,915.55","15,522.35","10,486.55","16,167.60","10,725.70","53.41","3.64"
"NIFTY 200","8,380.60","0.55","8,360.25","8,386.00","8,334.30","8,334.50","8,334.50","8,286.70","8,071.00","5,359.45","8,437.30","5,466.35","56.37","3.84"
"NIFTY 500","13,539.40","0.53","13,512.15","13,549.10","13,471.00","13,468.25","13,468.25","13,386.55","13,022.20","8,499.90","13,634.35","8,650.60","59.29","3.97"
"NIFTY MIDCAP 50","7,477.30","1.70","7,400.95","7,485.50","7,398.85","7,352.50","7,352.50","7,347.60","7,124.35","4,168.95","7,656.15","4,083.85","79.36","4.95"
"NIFTY MIDCAP 100","26,895.00","1.10","26,706.15","26,932.60","26,683.95","26,601.45","26,601.45","26,496.30","25,565.70","14,941.40","27,474.45","14,784.70","80.00","5.20"
"NIFTY SMALLCAP 100","9,691.10","0.54","9,685.80","9,708.75","9,664.35","9,639.15","9,639.15","9,573.75","9,226.95","4,694.50","9,824.05","4,686.55","106.44","5.03"
"INDIA VIX","13.37","-11.45","15.10","15.27","13.28","15.10","15.10","14.80","20.87","29.73","30.45","10.60","-55.03","-35.96"
"NIFTY MIDCAP 150","10,137.30","0.90","10,087.85","10,149.85","10,073.90","10,047.15","10,047.15","10,004.40","9,631.25","5,721.95","10,316.30","5,642.10","77.17","5.25"
"NIFTY SMALLCAP 50","4,853.95","0.38","4,857.45","4,865.85","4,841.20","4,835.70","4,835.70","4,806.60","4,583.10","2,205.25","4,949.60","2,204.25","120.11","5.91"
"NIFTY SMALLCAP 250","8,363.10","0.36","8,374.70","8,387.65","8,347.85","8,332.95","8,332.95","8,241.25","7,959.55","4,125.55","8,455.15","4,126.50","102.71","5.07"
"NIFTY MIDSMALLCAP 400","9,499.05","0.73","9,471.10","9,511.90","9,454.75","9,430.10","9,430.10","9,370.25","9,029.75","5,147.15","9,646.50","5,103.90","84.55","5.20"
"NIFTY BANK","35,364.65","1.54","34,916.65","35,491.95","34,915.85","34,827.00","34,827.00","34,558.00","34,684.20","21,506.15","37,708.75","20,404.90","64.44","1.96"
"NIFTY AUTO","10,706.80","0.83","10,644.65","10,754.90","10,643.90","10,618.45","10,618.45","10,443.75","10,437.80","6,737.85","11,093.15","6,853.75","58.91","2.58"
"NIFTY FINANCIAL SERVICES","16,722.35","1.22","16,579.85","16,757.55","16,558.95","16,520.30","16,520.30","16,419.25","16,413.30","10,585.60","17,654.45","10,113.55","57.97","1.88"
"NIFTY FINANCIAL SERVICES 25/50","16,775.75","1.24","16,628.15","16,797.60","16,609.15","16,569.75","16,569.75","16,443.90","16,212.50","-","-","-","-","3.47"
"NIFTY FMCG","36,006.55","-0.65","36,298.10","36,329.25","35,975.65","36,242.55","36,242.55","36,287.15","34,815.70","30,113.25","36,565.25","28,969.35","19.57","3.42"
"NIFTY IT","29,210.55","0.56","29,176.75","29,284.00","28,874.60","29,048.00","29,048.00","28,445.60","26,857.30","14,411.20","29,284.00","15,148.50","102.69","8.76"
"NIFTY MEDIA","1,835.75","0.07","1,847.65","1,855.80","1,833.90","1,834.50","1,834.50","1,853.95","1,773.50","1,401.10","1,927.25","1,270.20","31.02","3.51"
"NIFTY METAL","5,223.95","2.61","5,147.40","5,250.30","5,140.90","5,090.90","5,090.90","5,048.65","5,004.75","2,030.80","5,524.25","1,999.30","157.24","4.38"
"NIFTY PHARMA","14,069.60","0.73","13,982.90","14,133.45","13,968.95","13,967.95","13,967.95","14,030.60","14,127.25","10,193.15","14,530.95","9,852.30","38.03","-0.41"
"NIFTY PSU BANK","2,507.25","2.64","2,461.70","2,522.05","2,452.45","2,442.70","2,442.70","2,379.45","2,359.85","1,489.15","2,660.60","1,232.55","68.37","6.25"
"NIFTY PRIVATE BANK","18,586.40","1.37","18,357.35","18,666.55","18,357.35","18,335.75","18,335.75","18,209.70","18,278.65","11,782.60","20,068.55","11,219.00","57.74","1.68"
"NIFTY REALTY","346.55","0.29","346.70","349.65","345.45","345.55","345.55","343.85","335.45","213.20","365.60","192.40","62.55","3.31"
"NIFTY DIVIDEND OPPORTUNITIES 50","3,352.15","0.54","3,348.70","3,354.30","3,334.85","3,334.25","3,334.25","3,298.20","3,202.40","2,256.55","3,354.30","2,282.60","48.55","4.68"
"NIFTY GROWTH SECTORS 15","7,601.95","0.37","7,585.15","7,619.30","7,576.35","7,574.15","7,574.15","7,514.40","7,490.30","5,235.50","7,694.25","5,019.95","45.20","1.49"
"NIFTY100 QUALITY 30","3,627.00","0.06","3,631.65","3,635.80","3,621.15","3,624.70","3,624.70","3,596.65","3,487.95","2,457.90","-","-","47.56","3.99"
"NIFTY50 VALUE 20","8,102.65","0.36","8,099.75","8,115.50","8,055.10","8,073.70","8,073.70","7,965.10","7,762.55","4,966.70","8,115.50","5,114.65","63.14","4.38"
"NIFTY50 TR 2X LEVERAGE","10,180.80","0.88","10,153.95","10,193.40","10,068.55","10,092.35","10,092.35","9,961.25","9,442.25","4,444.35","10,237.35","4,683.45","129.07","7.82"
"NIFTY50 PR 2X LEVERAGE","7,564.65","0.88","7,544.70","7,574.05","7,481.25","7,498.95","7,498.95","7,402.30","7,063.85","3,385.10","7,611.85","3,557.50","123.47","7.09"
"NIFTY50 TR 1X INVERSE","239.00","-0.44","239.30","240.35","238.85","240.05","240.05","241.60","248.05","371.75","362.00","238.30","-35.71","-3.65"
"NIFTY50 PR 1X INVERSE","277.15","-0.43","277.50","278.70","277.00","278.35","278.35","280.15","286.65","425.70","414.70","276.25","-34.90","-3.31"
"NIFTY50 DIVIDEND POINTS","65.14","-","65.14","65.14","65.14","65.14","65.14","64.30","11.40","14.63","-","-","345.25","471.40"
"NIFTY ALPHA 50","27,106.20","0.75","26,941.95","27,172.85","26,846.45","26,905.50","26,905.50","26,596.40","25,885.95","13,918.40","-","-","94.75","4.71"
"NIFTY50 EQUAL WEIGHT","17,822.55","0.53","17,775.15","17,836.40","17,762.60","17,728.00","17,728.00","17,565.90","17,249.35","10,683.60","-","-","66.82","3.32"
"NIFTY100 EQUAL WEIGHT","18,910.95","0.55","18,857.80","18,928.95","18,834.25","18,807.05","18,807.05","18,718.05","18,264.40","11,907.85","-","-","58.81","3.54"
"NIFTY100 LOW VOLATILITY 30","12,315.65","-0.13","12,355.75","12,359.55","12,295.65","12,331.70","12,331.70","12,279.90","11,904.25","8,298.10","-","-","48.42","3.46"
"NIFTY200 QUALITY 30","13,433.10","-0.03","13,466.65","13,484.35","13,403.20","13,436.85","13,436.85","13,332.35","12,913.25","9,252.90","-","-","45.18","4.03"
"NIFTY ALPHA LOW-VOLATILITY 30","15,559.55","-0.12","15,605.20","15,619.60","15,531.60","15,578.40","15,578.40","15,582.95","15,008.55","-","-","-","-","3.67"
"NIFTY200 MOMENTUM 30","17,829.65","1.15","17,710.85","17,846.30","17,703.25","17,626.60","17,626.60","17,595.65","16,956.95","-","-","-","-","5.15"
"NIFTY COMMODITIES","5,179.15","0.65","5,170.15","5,199.50","5,157.50","5,145.50","5,145.50","5,105.90","5,002.35","2,874.25","5,323.50","2,811.70","80.19","3.53"
"NIFTY INDIA CONSUMPTION","6,356.45","0.08","6,359.50","6,369.15","6,339.40","6,351.15","6,351.15","6,327.50","6,146.90","4,797.60","6,384.05","4,796.75","32.49","3.41"
"NIFTY CPSE","2,059.55","0.08","2,068.50","2,077.05","2,053.15","2,058.00","2,058.00","2,009.95","1,955.05","1,462.40","2,125.45","1,252.35","40.83","5.35"
"NIFTY ENERGY","19,961.05","-0.59","20,108.90","20,110.55","19,891.20","20,078.95","20,078.95","20,164.20","19,321.00","14,505.20","21,066.10","14,070.75","37.61","3.31"
"NIFTY INFRASTRUCTURE","4,371.50","0.10","4,385.20","4,385.25","4,349.80","4,367.10","4,367.10","4,376.65","4,217.50","3,038.40","4,530.00","2,952.65","43.88","3.65"
"NIFTY100 LIQUID 15","4,014.45","1.10","3,984.15","4,023.10","3,976.70","3,970.60","3,970.60","3,955.10","3,888.00","2,615.50","4,068.60","2,478.50","53.49","3.25"
"NIFTY MIDCAP LIQUID 15","6,270.05","1.26","6,232.10","6,286.10","6,227.85","6,192.25","6,192.25","6,179.75","6,128.10","3,453.10","6,506.30","3,430.30","81.58","2.32"
"NIFTY MNC","17,517.60","0.44","17,517.30","17,534.05","17,473.55","17,440.10","17,440.10","17,212.60","16,758.55","13,158.00","17,534.05","13,180.90","33.13","4.53"
"NIFTY PSE","3,617.65","0.52","3,619.45","3,632.20","3,606.90","3,599.05","3,599.05","3,566.95","3,494.65","2,533.35","3,766.05","2,141.20","42.80","3.52"
"NIFTY SERVICES SECTOR","22,154.75","0.99","22,017.35","22,173.35","21,933.50","21,936.75","21,936.75","21,689.95","21,393.55","13,576.35","22,174.20","13,868.00","63.19","3.56"
"NIFTY100 ESG SECTOR LEADERS","2,701.15","0.15","2,705.15","2,705.65","2,688.70","2,697.20","2,697.20","2,678.45","2,604.70","-","-","-","-","3.70"
"NIFTY 8-13 YR G-SEC","2,271.83","-0.11","2,274.79","2,274.79","2,271.66","2,274.41","2,274.69","2,271.82","2,273.04","2,178.99","-","-","4.26","-0.05"
"NIFTY 10 YR BENCHMARK G-SEC","2,063.88","-0.17","2,067.87","2,067.87","2,063.88","2,067.53","2,067.29","2,064.22","2,063.72","1,982.38","-","-","4.11","0.01"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","955.15","-0.19","957.00","957.00","955.15","957.01","956.89","956.41","959.56","972.36","-","-","-1.77","-0.46"
