"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 24-Nov-2021","1W AGO 
 18-Nov-2021","1M AGO 
 26-Oct-2021","1Y AGO 
 25-Nov-2020","52W H 
","52W L 
","365 D % CHNG 
 25-Nov-2020","30 D % CHNG 
 26-Oct-2021"
"NIFTY 50","17,026.45","-2.91","17,338.75","17,355.40","16,985.70","17,536.25","17,415.05","17,764.80","18,268.40","12,858.40","30,892.40","4,632.70","36.38","-4.01"
"NIFTY NEXT 50","42,271.35","-3.02","43,189.80","43,292.60","42,143.80","43,588.70","43,216.00","43,615.45","42,528.95","29,916.30","45,290.80","4,632.70","45.70","2.49"
"NIFTY 100","17,340.50","-2.92","17,665.10","17,683.50","17,297.15","17,861.65","17,733.00","18,059.50","18,425.15","12,959.80","30,892.40","4,632.70","37.82","-3.06"
"NIFTY 200","9,071.05","-2.96","9,246.50","9,255.25","9,048.25","9,348.00","9,282.30","9,451.65","9,610.55","6,646.00","30,892.40","4,632.70","40.66","-2.73"
"NIFTY 500","14,707.20","-2.93","14,990.85","15,012.10","14,674.75","15,150.60","15,046.50","15,302.55","15,499.65","10,574.95","30,892.40","4,632.70","43.27","-2.25"
"NIFTY MIDCAP 50","8,302.75","-3.80","8,550.75","8,553.75","8,279.65","8,630.50","8,591.80","8,735.00","8,641.65","5,334.45","30,892.40","4,632.70","61.79","-0.13"
"NIFTY MIDCAP 100","29,920.40","-3.25","30,619.05","30,728.15","29,841.40","30,926.60","30,743.25","31,271.40","31,101.95","19,032.60","33,243.50","4,632.70","62.49","-0.56"
"NIFTY SMALLCAP 100","10,771.15","-2.89","10,985.05","11,064.35","10,745.50","11,091.75","11,007.25","11,036.90","10,991.15","6,323.20","30,892.40","4,632.70","75.41","0.92"
"INDIA VIX","20.80","24.84","16.66","21.39","16.05","16.66","17.10","14.86","16.75","23.13","29.65","9.03","-27.95","-0.54"
"NIFTY MIDCAP 150","11,257.50","-2.96","11,500.80","11,543.45","11,232.55","11,600.75","11,547.60","11,733.35","11,586.05","7,227.55","30,892.40","4,632.70","60.51","0.13"
"NIFTY SMALLCAP 50","5,146.70","-2.69","5,233.45","5,266.45","5,135.20","5,289.00","5,260.80","5,323.55","5,376.20","3,119.60","30,892.40","3,183.10","69.54","-1.62"
"NIFTY SMALLCAP 250","9,390.65","-2.89","9,582.30","9,638.15","9,373.30","9,670.20","9,588.15","9,620.55","9,508.50","5,424.20","30,892.40","4,632.70","78.28","1.70"
"NIFTY MIDSMALLCAP 400","10,585.15","-2.94","10,809.90","10,856.70","10,563.30","10,905.50","10,842.15","10,973.50","10,838.85","6,581.25","30,892.40","4,632.70","65.71","0.61"
