"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 01-Jun-2020","30 D % CHNG 
 30-Apr-2021"
"NIFTY 100","15,743.85","15,853.25","15,711.20","15,789.40","15,832.20","42.80","0.27",1161053133,"453,768,120,138.46","15,875.15","9,719.65","57.95","6.75"
"MOTHERSUMI","237.80","272.85","234.75","237.30","272.85","35.55","14.98",101188210,"26,041,797,725.60","272.85","86.25","145.65","10.53"
"ADANIENT","1,425.55","1,557.00","1,413.00","1,416.25","1,551.30","135.05","9.54",24541949,"36,979,317,914.22","1,557.00","141.00","841.03","22.23"
"MUTHOOTFIN","1,307.50","1,439.00","1,293.15","1,308.90","1,425.15","116.25","8.88",7848352,"10,850,582,090.56","1,439.00","865.00","47.83","13.09"
"PNB","41.90","44.55","41.60","41.65","43.90","2.25","5.40",397167134,"17,252,940,300.96","46.35","26.30","42.64","19.51"
"ADANITRANS","1,501.00","1,574.00","1,500.95","1,499.45","1,559.00","59.55","3.97",1602906,"2,484,247,835.04","1,590.00","167.00","731.64","42.82"
"NAUKRI","4,400.00","4,592.00","4,400.00","4,427.80","4,592.00","164.20","3.71",569079,"2,550,401,518.77","5,880.00","2,472.90","65.12","-9.91"
"BANDHANBNK","301.15","313.00","300.00","302.85","312.60","9.75","3.22",8317028,"2,555,739,534.12","430.70","223.00","33.62","-8.16"
"VEDL","269.55","276.45","269.55","268.25","276.10","7.85","2.93",9303223,"2,540,245,040.15","296.30","91.20","186.44","4.28"
"UPL","815.00","840.85","810.50","815.80","838.50","22.70","2.78",7228801,"5,982,121,979.54","840.85","398.05","94.56","34.42"
"LUPIN","1,211.80","1,267.65","1,211.00","1,209.20","1,241.30","32.10","2.65",7160455,"8,938,682,394.70","1,267.65","828.40","42.31","13.06"
"TATASTEEL","1,105.00","1,129.80","1,104.00","1,100.90","1,129.55","28.65","2.60",12862591,"14,355,551,937.37","1,246.85","300.00","249.27","6.47"
"MARICO","481.40","493.00","481.40","480.70","493.00","12.30","2.56",3186171,"1,555,552,405.62","493.00","315.00","42.03","16.83"
"PEL","1,800.00","1,845.40","1,800.00","1,796.95","1,841.50","44.55","2.48",928453,"1,696,237,208.35","2,007.70","985.10","61.68","6.95"
"ICICIPRULI","553.00","569.70","553.00","552.00","565.65","13.65","2.47",2704314,"1,521,717,487.80","577.85","379.05","43.79","5.76"
"HINDPETRO","282.25","289.50","281.85","281.55","288.50","6.95","2.47",10905107,"3,136,090,671.06","291.80","162.90","43.87","19.99"
"ADANIGREEN","1,275.00","1,318.45","1,275.00","1,271.05","1,299.95","28.90","2.27",1381899,"1,792,972,495.53","1,390.00","251.50","387.46","24.74"
"AMBUJACEM","324.40","332.40","322.55","324.20","331.30","7.10","2.19",5346766,"1,758,177,063.78","335.00","181.65","71.58","4.90"
"HDFCAMC","2,965.00","3,024.00","2,965.00","2,964.90","3,022.00","57.10","1.93",369058,"1,110,093,248.78","3,358.90","2,070.05","11.70","6.79"
"HINDALCO","389.00","402.70","389.00","394.70","402.05","7.35","1.86",9587386,"3,796,796,603.72","427.50","136.20","183.65","8.32"
"HAVELLS","1,026.00","1,049.70","1,024.00","1,029.45","1,048.05","18.60","1.81",1365925,"1,419,633,171.00","1,231.90","502.05","90.52","3.96"
"JSWSTEEL","697.00","709.05","696.55","694.50","707.00","12.50","1.80",9653111,"6,780,441,697.51","773.00","175.45","258.08","-3.25"
"RELIANCE","2,157.00","2,209.50","2,157.00","2,168.90","2,207.00","38.10","1.76",11366816,"24,764,086,342.08","2,369.35","1,475.95","42.66","8.74"
"ADANIPORTS","802.95","824.00","802.95","798.20","812.00","13.80","1.73",27748928,"22,624,533,466.24","885.00","298.00","142.36","9.33"
"MRF","82,800.00","84,776.45","82,800.00","83,083.45","84,499.00","1,415.55","1.70",10170,"852,232,473.90","98,599.95","55,300.00","35.21","2.93"
"HDFCLIFE","664.00","677.95","662.90","665.25","676.25","11.00","1.65",4979822,"3,345,145,630.28","746.00","486.25","28.90","0.02"
"INDUSINDBK","1,008.90","1,030.00","1,003.50","1,010.05","1,026.10","16.05","1.59",4177378,"4,268,528,387.96","1,119.50","401.05","146.29","8.03"
"SBILIFE","965.00","993.45","963.40","966.30","981.50","15.20","1.57",2488600,"2,443,830,086.00","1,044.70","728.75","24.72","4.05"
"ALKEM","3,117.00","3,170.00","3,075.00","3,101.75","3,150.15","48.40","1.56",568056,"1,784,428,632.24","3,170.00","2,260.00","35.92","12.42"
"POWERGRID","224.20","228.15","224.10","224.40","227.90","3.50","1.56",4497488,"1,017,736,559.52","239.85","154.60","41.27","1.98"
"SIEMENS","2,069.55","2,106.00","2,066.40","2,059.30","2,091.00","31.70","1.54",587982,"1,228,170,921.78","2,143.50","1,019.15","82.97","9.45"
"TATAMOTORS","315.95","324.40","315.60","318.10","322.90","4.80","1.51",26323777,"8,448,879,465.92","357.00","88.00","255.22","8.25"
"CADILAHC","618.70","635.45","616.45","619.45","628.50","9.05","1.46",5561507,"3,494,183,617.96","673.70","342.65","77.21","8.46"
"MARUTI","7,063.45","7,197.70","7,063.45","7,091.15","7,185.50","94.35","1.33",598862,"4,277,054,438.14","8,329.00","5,201.00","22.40","9.84"
"BAJAJ-AUTO","4,227.90","4,305.90","4,200.00","4,238.95","4,294.30","55.35","1.31",351583,"1,497,304,101.25","4,361.40","2,610.25","53.68","10.57"
"DLF","281.35","292.65","281.35","287.30","291.00","3.70","1.29",9157000,"2,653,515,460.00","332.70","134.50","88.76","16.17"
"BOSCHLTD","15,120.00","15,339.00","15,120.00","15,108.55","15,300.50","191.95","1.27",22045,"336,239,819.35","16,830.05","9,800.00","46.55","11.84"
"IGL","525.00","535.55","521.15","524.75","531.00","6.25","1.19",3911264,"2,074,847,326.72","594.85","364.10","11.52","3.10"
"TATACONSUM","665.50","674.75","660.15","665.80","673.70","7.90","1.19",3021421,"2,023,475,857.91","698.00","359.50","83.49","-0.55"
"ACC","1,975.25","2,007.30","1,970.90","1,973.45","1,996.00","22.55","1.14",447284,"891,754,583.64","2,040.00","1,180.00","53.73","4.82"
"PGHH","13,035.65","13,182.10","12,951.10","12,992.60","13,140.00","147.40","1.13",6220,"81,319,720.20","14,122.00","9,691.40","29.67","-4.10"
