"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 13-Oct-2020","30 D % CHNG 
 13-Sep-2021"
"NIFTY 100","18,543.05","18,621.60","18,525.80","18,433.20","18,610.35","177.15","0.96",976710994,"494,805,076,828.29","18,621.60","11,646.90","54.58","5.27"
"ADANIPORTS","766.10","817.70","764.25","759.00","812.95","53.95","7.11",19754735,"15,739,190,016.55","901.00","341.15","132.93","7.60"
"WIPRO","697.00","739.85","695.00","672.60","709.00","36.40","5.41",59188803,"42,441,923,079.18","739.85","331.05","102.10","5.17"
"HAVELLS","1,413.70","1,479.80","1,405.10","1,409.70","1,478.55","68.85","4.88",1827348,"2,654,771,174.40","1,482.70","681.15","111.36","0.58"
"DMART","5,194.00","5,420.00","5,180.05","5,117.15","5,360.00","242.85","4.75",1187904,"6,332,050,997.76","5,595.00","1,954.85","169.62","33.77"
"ADANIENT","1,580.00","1,656.00","1,574.80","1,569.70","1,642.60","72.90","4.64",5256882,"8,541,329,304.78","1,717.20","303.00","425.32","8.80"
"GRASIM","1,680.00","1,775.00","1,680.00","1,677.05","1,754.00","76.95","4.59",2309191,"4,022,864,733.01","1,775.00","733.45","129.50","8.73"
"VEDL","324.00","342.45","324.00","319.45","331.20","11.75","3.68",26405427,"8,808,322,338.66","342.45","91.20","237.13","9.47"
"JINDALSTEL","436.10","453.80","432.60","432.60","446.50","13.90","3.21",10695420,"4,762,349,663.40","501.70","179.00","134.81","11.32"
"HDFCBANK","1,638.00","1,690.00","1,638.00","1,639.40","1,687.00","47.60","2.90",7378644,"12,308,906,347.92","1,690.00","1,164.00","39.28","8.97"
"ITC","253.25","261.85","250.35","249.20","256.30","7.10","2.85",85406902,"21,870,999,464.16","261.85","163.35","52.89","18.72"
"POWERGRID","200.20","205.95","198.25","199.40","204.95","5.55","2.78",14389092,"2,924,007,385.32","205.95","115.95","30.31","17.55"
"NAUKRI","6,830.00","7,180.00","6,819.85","6,805.90","6,990.00","184.10","2.71",675707,"4,765,964,183.10","7,180.00","3,362.65","87.37","4.26"
"DIVISLAB","5,248.90","5,389.00","5,226.20","5,248.90","5,385.00","136.10","2.59",549795,"2,936,861,943.30","5,389.00","3,015.00","71.61","5.44"
"INDIGO","2,020.00","2,087.00","2,015.55","2,017.55","2,069.00","51.45","2.55",628438,"1,297,825,020.08","2,307.15","1,253.70","54.42","6.70"
"INDUSTOWER","298.40","311.00","298.05","298.40","306.00","7.60","2.55",4256928,"1,304,833,570.56","332.80","175.25","-","24.26"
"LTI","6,060.00","6,273.15","6,030.00","5,951.35","6,101.00","149.65","2.51",485930,"2,986,258,518.50","6,498.50","2,826.75","83.12","9.29"
"PNB","41.80","42.70","41.70","41.45","42.45","1.00","2.41",128521477,"5,439,028,906.64","46.35","26.30","51.15","12.57"
"ACC","2,270.00","2,349.50","2,267.00","2,259.70","2,314.00","54.30","2.40",1290679,"2,987,134,570.81","2,509.00","1,485.00","49.07","-5.45"
"ICICIBANK","710.25","729.80","709.05","709.95","726.40","16.45","2.32",8950350,"6,448,727,175.00","735.40","388.05","78.79","2.81"
"IOC","132.00","135.50","131.00","131.25","134.25","3.00","2.29",14040736,"1,883,705,141.76","135.50","73.75","80.04","16.62"
"SAIL","123.00","125.80","122.50","121.75","124.35","2.60","2.14",60211742,"7,484,921,648.02","151.30","32.65","276.93","2.94"
"TECHM","1,432.00","1,459.60","1,410.50","1,402.15","1,430.70","28.55","2.04",4328124,"6,215,575,595.16","1,547.85","781.85","68.56","-1.46"
"NTPC","147.50","150.60","146.85","146.35","149.30","2.95","2.02",29263867,"4,361,194,099.01","150.60","78.10","88.87","28.90"
"LT","1,775.00","1,817.90","1,767.45","1,752.05","1,787.00","34.95","1.99",4440909,"7,974,185,018.58","1,817.90","884.00","95.51","5.47"
"INDUSINDBK","1,190.00","1,215.00","1,161.80","1,184.50","1,208.05","23.55","1.99",3315820,"3,944,068,415.40","1,215.00","571.00","94.33","16.73"
"HINDPETRO","322.00","335.80","321.75","325.80","331.90","6.10","1.87",4153260,"1,378,259,331.00","335.80","162.90","96.53","20.86"
"SBICARD","1,117.00","1,142.00","1,103.00","1,107.30","1,127.90","20.60","1.86",1789269,"2,015,164,211.25","1,165.00","766.10","27.22","6.94"
"JSWSTEEL","690.00","699.00","682.95","681.45","694.00","12.55","1.84",4751065,"3,293,343,236.70","776.50","283.95","138.38","-0.12"
"HINDALCO","511.40","523.35","508.35","508.05","517.05","9.00","1.77",8876529,"4,584,460,932.63","523.35","165.30","196.27","7.98"
"BAJAJFINSV","18,350.00","18,540.00","18,215.10","18,188.25","18,510.00","321.75","1.77",196805,"3,623,370,950.85","18,813.00","5,511.05","203.09","9.85"
"HDFCAMC","2,918.00","2,964.50","2,902.05","2,900.40","2,950.00","49.60","1.71",654193,"1,927,396,500.46","3,365.00","2,225.90","26.94","-9.75"
"HDFC","2,758.30","2,815.55","2,751.85","2,765.60","2,811.00","45.40","1.64",2737670,"7,635,115,239.70","2,896.00","1,906.85","41.87","-0.33"
"DLF","430.50","444.80","429.40","427.50","434.00","6.50","1.52",12094977,"5,296,269,478.53","444.80","150.60","173.35","27.05"
"SBIN","482.00","493.90","482.00","481.70","489.00","7.30","1.52",23431826,"11,466,598,371.36","493.90","185.90","145.24","13.30"
"TATASTEEL","1,374.00","1,390.60","1,354.00","1,354.30","1,372.50","18.20","1.34",8227371,"11,315,432,431.14","1,534.50","366.65","266.14","-5.32"
"BERGEPAINT","833.10","856.95","830.50","829.15","839.65","10.50","1.27",1426028,"1,208,530,209.44","872.95","588.15","38.39","0.43"
"AMBUJACEM","407.00","414.80","405.25","404.00","409.05","5.05","1.25",5426954,"2,227,981,695.16","442.50","225.95","65.75","-5.48"
"PEL","2,801.00","2,855.00","2,801.00","2,797.05","2,831.00","33.95","1.21",672686,"1,904,030,996.14","3,014.95","1,197.90","118.19","7.06"
"TITAN","2,575.30","2,584.00","2,532.35","2,537.20","2,567.00","29.80","1.17",1546459,"3,940,454,854.95","2,608.95","1,154.00","109.58","24.73"
"NMDC","152.80","154.40","152.30","151.60","153.25","1.65","1.09",9832276,"1,508,074,492.88","213.20","77.95","92.06","1.09"
"ULTRACEMCO","7,440.00","7,457.95","7,340.00","7,350.40","7,428.00","77.60","1.06",599817,"4,443,252,394.56","8,073.30","4,315.00","66.46","-5.87"
"SIEMENS","2,264.00","2,307.95","2,252.60","2,249.30","2,270.40","21.10","0.94",392838,"896,798,085.06","2,318.00","1,215.90","83.78","2.81"
"ADANIGREEN","1,203.00","1,212.25","1,196.10","1,193.50","1,204.40","10.90","0.91",250393,"302,126,697.73","1,390.00","661.10","66.32","4.97"
"AXISBANK","799.00","804.00","788.00","794.60","801.00","6.40","0.81",7157116,"5,701,287,034.44","820.70","454.00","70.18","0.96"
"BANKBARODA","88.25","89.35","88.10","87.85","88.50","0.65","0.74",35030330,"3,110,343,000.70","99.85","39.90","111.06","12.84"
"GAIL","160.00","163.70","159.50","159.00","160.10","1.10","0.69",15541172,"2,503,993,632.64","171.30","81.20","93.65","2.60"
"SHREECEM","27,997.80","28,300.00","27,911.15","27,815.70","28,005.00","189.30","0.68",46335,"1,300,424,209.50","32,048.00","20,113.10","32.27","-8.81"
