"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 19-Jun-2020","30 D % CHNG 
 21-May-2021"
"NIFTY 100","16,058.95","16,097.20","15,998.55","16,011.55","16,087.20","75.65","0.47",583841789,"341,761,922,754.06","16,167.60","10,725.70","53.41","3.64"
"APOLLOHOSP","3,253.25","3,465.00","3,222.25","3,203.25","3,431.50","228.25","7.13",3717669,"12,607,024,522.59","3,465.00","1,311.00","139.23","8.02"
"TATASTEEL","1,135.00","1,170.00","1,130.00","1,113.15","1,165.50","52.35","4.70",18022770,"20,860,050,029.00","1,246.85","312.10","260.65","7.68"
"VEDL","253.75","263.90","252.30","250.95","262.55","11.60","4.62",12259906,"3,191,498,729.92","296.30","91.20","135.69","-2.47"
"NAUKRI","4,800.00","4,975.00","4,765.55","4,788.80","4,951.00","162.20","3.39",501640,"2,453,992,781.60","5,880.00","2,660.00","80.31","9.59"
"AXISBANK","737.55","765.95","737.55","761.35","761.35","22.20","3.00",11170037,"8,446,893,679.77","799.00","400.15","80.54","3.57"
"SBIN","421.00","431.00","419.05","428.80","428.80","11.60","2.78",29886797,"12,732,373,257.94","441.95","175.50","131.47","3.69"
"ICICIPRULI","600.00","621.80","599.00","601.05","616.15","15.10","2.51",1877031,"1,155,744,297.63","621.80","397.55","43.90","17.18"
"ICICIBANK","636.10","650.00","636.10","649.00","649.00","14.95","2.36",14785922,"9,535,736,816.24","679.40","333.75","84.90","-0.54"
"INDIGO","1,695.00","1,732.45","1,692.00","1,690.15","1,726.20","36.05","2.13",513349,"882,754,940.40","1,859.60","875.25","65.39","0.23"
"HINDALCO","371.55","380.35","371.55","375.90","375.90","6.85","1.86",12815999,"4,819,456,423.95","427.50","143.30","156.41","-1.34"
"HDFCAMC","2,947.00","3,000.00","2,934.65","2,934.55","2,984.00","49.45","1.69",182970,"544,369,244.70","3,358.90","2,070.05","21.93","5.86"
"ADANIGREEN","1,116.95","1,170.00","1,090.00","1,139.70","1,158.00","18.30","1.61",1964847,"2,283,643,425.75","1,390.00","305.60","-","-"
"COALINDIA","146.75","149.25","146.75","148.75","148.75","2.35","1.61",7400514,"1,095,720,102.84","165.00","109.55","5.95","2.09"
"ALKEM","3,100.00","3,148.75","3,090.00","3,094.05","3,142.90","48.85","1.58",51233,"160,331,624.18","3,259.00","2,317.25","33.66","7.03"
"PNB","42.00","42.70","41.70","41.55","42.20","0.65","1.56",111022988,"4,697,057,512.24","46.35","26.30","14.02","7.77"
"JSWSTEEL","685.00","702.35","685.00","689.50","689.50","10.50","1.55",9066409,"6,290,637,220.56","773.00","185.65","256.24","1.07"
"TATAMOTORS","335.90","342.80","335.90","339.65","339.65","5.00","1.49",22426352,"7,625,632,470.56","360.75","97.30","227.22","7.65"
"MUTHOOTFIN","1,469.10","1,490.00","1,465.00","1,466.15","1,485.95","19.80","1.35",577924,"856,470,178.81","1,550.00","1,000.00","34.41","16.90"
"LT","1,510.50","1,529.30","1,507.50","1,523.85","1,523.85","19.80","1.32",2099002,"3,192,330,161.76","1,593.00","843.00","61.58","3.46"
"MARUTI","7,540.00","7,665.00","7,540.00","7,527.45","7,623.00","95.55","1.27",1216123,"9,275,484,106.20","8,329.00","5,650.00","32.74","8.74"
"AUROPHARMA","940.00","959.05","939.60","938.20","950.00","11.80","1.26",1758141,"1,671,090,686.64","1,063.90","738.05","20.32","-7.13"
"NMDC","177.25","180.20","176.55","177.75","177.75","2.15","1.22",11222739,"2,000,902,136.31","213.20","75.60","110.98","0.37"
"HEROMOTOCO","2,908.00","2,949.30","2,901.95","2,906.95","2,941.45","34.50","1.19",631005,"1,851,236,158.95","3,629.05","2,439.75","14.83","-0.86"
"CADILAHC","617.95","633.00","616.50","618.00","625.20","7.20","1.17",3101549,"1,936,359,071.68","673.70","347.05","71.74","-0.65"
"SUNPHARMA","664.80","677.40","664.80","664.80","672.15","7.35","1.11",3010243,"2,026,917,021.62","721.85","452.25","37.86","-4.48"
"BHARTIARTL","531.30","535.90","529.35","528.75","534.50","5.75","1.09",5402768,"2,880,539,786.88","623.00","394.00","-4.28","1.78"
"BAJAJHLDNG","3,623.60","3,690.00","3,611.20","3,616.15","3,655.00","38.85","1.07",21621,"78,974,594.28","3,757.15","2,212.65","36.30","2.46"
"BAJAJFINSV","12,355.00","12,520.00","12,320.50","12,333.25","12,465.00","131.75","1.07",218717,"2,722,153,812.52","12,520.00","5,400.00","107.38","4.87"
"ICICIGI","1,529.00","1,559.00","1,525.30","1,525.25","1,541.00","15.75","1.03",706530,"1,088,119,787.70","1,626.45","1,200.00","21.60","4.90"
"INFY","1,572.00","1,578.00","1,543.00","1,574.20","1,574.20","15.00","0.96",9780240,"15,307,249,228.80","1,578.00","693.50","124.73","12.66"
"INDUSINDBK","997.00","1,020.00","986.65","1,000.65","1,010.00","9.35","0.93",3499315,"3,526,294,718.65","1,119.50","461.00","113.17","1.45"
"HAVELLS","992.00","1,001.55","990.00","991.55","1,000.60","9.05","0.91",587103,"584,425,810.32","1,231.90","562.20","72.48","0.30"
"LUPIN","1,148.40","1,160.65","1,134.00","1,139.70","1,149.95","10.25","0.90",855782,"984,722,673.94","1,267.65","828.40","23.21","-3.65"
"ITC","204.00","205.60","203.75","205.05","205.05","1.80","0.89",13877208,"2,841,774,654.24","239.20","163.35","1.46","-2.64"
"HINDPETRO","297.70","299.85","296.35","295.40","298.00","2.60","0.88",2492381,"743,071,017.84","312.00","162.90","34.32","4.84"
"TECHM","1,087.40","1,103.20","1,077.00","1,089.50","1,089.50","9.50","0.88",3200049,"3,490,101,441.36","1,103.20","536.05","96.61","8.11"
"HDFC","2,511.00","2,515.00","2,482.00","2,509.20","2,509.20","21.80","0.88",1871813,"4,675,339,638.88","2,896.00","1,623.00","41.14","-2.27"
"ACC","2,028.90","2,048.00","2,028.00","2,027.45","2,044.90","17.45","0.86",329128,"670,213,220.24","2,078.00","1,245.00","63.15","3.22"
"LTI","4,200.00","4,233.00","4,175.00","4,184.95","4,219.00","34.05","0.81",255481,"1,076,019,546.94","4,483.00","1,881.00","122.71","10.94"
"BPCL","468.40","472.10","466.20","466.10","469.85","3.75","0.80",2952120,"1,386,353,215.12","493.90","325.00","26.95","-0.46"
"BOSCHLTD","14,994.85","15,147.60","14,971.05","14,950.00","15,070.00","120.00","0.80",28461,"428,748,742.23","16,830.05","10,909.05","31.71","1.31"
"DLF","291.00","296.40","290.25","290.25","292.55","2.30","0.79",4304141,"1,261,500,685.69","332.70","134.50","86.90","0.93"
"HDFCLIFE","722.00","731.50","718.30","719.60","725.25","5.65","0.79",2833717,"2,056,910,158.79","746.00","519.00","34.83","10.24"
"CIPLA","951.00","961.00","948.95","950.90","958.25","7.35","0.77",2134441,"2,036,939,735.12","982.30","621.05","50.75","1.26"
"PEL","2,415.00","2,442.00","2,394.05","2,398.85","2,415.15","16.30","0.68",766422,"1,854,028,467.54","2,505.75","1,178.55","80.50","42.40"
"GAIL","153.00","154.70","152.25","153.10","153.10","0.85","0.56",6551074,"1,003,886,579.76","170.30","81.20","48.50","0.66"
"BAJFINANCE","6,057.00","6,107.00","6,030.20","6,075.80","6,075.80","32.20","0.53",961994,"5,839,024,601.74","6,249.00","2,770.00","102.17","5.28"
"EICHERMOT","2,701.00","2,725.00","2,683.00","2,706.75","2,721.00","14.25","0.53",455803,"1,232,103,879.45","3,037.00","1,785.01","-84.96","3.31"
"HDFCBANK","1,511.10","1,522.00","1,507.00","1,506.25","1,513.75","7.50","0.50",5191588,"7,866,267,262.56","1,641.00","993.00","47.28","2.58"
"ADANIENT","1,525.00","1,534.00","1,501.00","1,508.50","1,516.00","7.50","0.50",4962963,"7,526,352,204.80","1,717.20","145.20","839.96","14.87"
"SBILIFE","997.00","1,017.55","991.40","1,002.15","1,007.05","4.90","0.49",980203,"988,002,392.00","1,044.70","755.25","28.10","3.64"
"AMBUJACEM","346.90","349.50","345.15","346.50","348.15","1.65","0.48",2206671,"766,156,171.20","351.50","183.20","86.87","7.72"
"INDUSTOWER","244.50","246.00","241.55","243.45","244.60","1.15","0.47",3049628,"743,743,276.64","282.65","162.20","-","1.24"
"UBL","1,394.20","1,403.95","1,376.00","1,380.10","1,385.75","5.65","0.41",756458,"1,049,729,202.02","1,498.95","897.00","31.70","6.35"
"GRASIM","1,501.70","1,515.00","1,490.00","1,498.90","1,505.00","6.10","0.41",1194203,"1,795,412,558.32","1,530.95","565.00","148.06","6.91"
"HCLTECH","995.00","1,010.00","989.25","989.70","993.35","3.65","0.37",5196000,"5,190,332,364.36","1,067.00","545.00","81.01","5.27"
"YESBANK","13.65","13.75","13.55","13.65","13.65","0.05","0.37",64386105,"878,870,333.25","28.35","11.10","-49.44","1.49"
"BIOCON","396.00","399.95","394.40","395.20","396.55","1.35","0.34",642550,"255,310,817.00","487.75","363.25","-1.82","3.63"
"ABBOTINDIA","16,487.85","16,572.35","16,355.05","16,397.45","16,450.30","52.85","0.32",6029,"99,287,983.60","17,350.00","13,959.80","0.89","2.63"
"MOTHERSUMI","236.50","240.80","235.70","236.10","236.85","0.75","0.32",5305993,"1,263,356,933.30","272.85","91.40","146.38","1.15"
"DRREDDY","5,277.00","5,336.00","5,267.00","5,277.65","5,294.00","16.35","0.31",464073,"2,463,712,508.97","5,515.00","3,814.00","32.51","0.46"
"M&M","793.20","801.90","790.00","791.80","793.80","2.00","0.25",1763201,"1,401,850,587.06","952.05","493.05","56.58","-3.28"
"GODREJCP","873.90","880.00","863.00","870.40","871.75","1.35","0.16",1237154,"1,077,585,877.08","942.35","641.00","28.72","5.53"
"ADANIPORTS","715.00","719.00","706.50","709.90","711.00","1.10","0.15",12085421,"8,605,271,839.08","901.00","298.00","107.03","-6.08"
"TATACONSUM","755.00","763.45","753.50","757.45","758.45","1.00","0.13",1588289,"1,205,257,224.76","765.00","377.60","97.29","18.02"
"PETRONET","227.30","228.85","226.00","227.80","227.85","0.05","0.02",3077330,"698,860,053.30","280.75","207.25","-12.48","-2.67"
"IOC","111.50","112.40","111.20","111.45","111.45","-","-",5213142,"582,095,732.14","117.85","71.65","30.98","-0.54"
"SBICARD","975.00","980.00","958.10","971.80","971.60","-0.20","-0.02",3543630,"3,434,971,641.46","1,139.50","626.35","48.65","-5.15"
"DIVISLAB","4,254.65","4,289.00","4,240.25","4,248.75","4,248.75","-1.60","-0.04",215936,"920,595,630.08","4,425.00","2,090.05","82.31","3.66"
