"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 25-Nov-2020","30 D % CHNG 
 26-Oct-2021"
"NIFTY 100","17,665.10","17,683.50","17,297.15","17,861.65","17,340.50","-521.15","-2.92",744895684,"402,199,981,269.94","30,892.40","4,632.70","37.82","-3.06"
"CIPLA","892.00","976.05","890.65","899.95","965.00","65.05","7.23",14458893,"13,808,965,759.65","1,005.00","726.50","23.00","-0.83"
"DRREDDY","4,580.00","4,820.00","4,576.15","4,591.60","4,750.00","158.40","3.45",1072273,"5,089,715,358.18","5,614.60","4,135.00","-4.47","-1.60"
"DIVISLAB","4,770.00","5,077.70","4,756.75","4,799.80","4,940.00","140.20","2.92",1570555,"7,753,720,096.15","5,425.10","3,153.30","38.34","-4.37"
"CADILAHC","460.00","480.00","458.05","462.10","474.50","12.40","2.68",7102460,"3,366,139,892.40","673.70","408.35","9.63","-9.18"
"BAJAJHLDNG","4,970.00","5,099.00","4,890.30","4,935.55","5,050.00","114.45","2.32",111567,"555,020,164.59","5,160.00","2,850.20","68.50","4.45"
"LUPIN","894.00","931.00","891.65","899.25","916.00","16.75","1.86",2236599,"2,049,708,787.56","1,267.65","863.15","0.53","-3.29"
"AUROPHARMA","668.00","691.15","664.05","668.90","675.10","6.20","0.93",4938416,"3,373,086,280.48","1,063.90","620.50","-21.57","-4.92"
"TORNTPHARM","2,963.50","3,085.95","2,931.30","2,990.55","3,012.95","22.40","0.75",526866,"1,596,535,696.50","3,250.20","2,311.10","15.70","1.57"
"BERGEPAINT","751.00","765.85","748.30","757.50","762.05","4.55","0.60",738231,"559,475,745.66","872.95","626.20","19.09","3.30"
"NESTLEIND","19,148.85","19,434.10","18,982.50","19,178.05","19,250.00","71.95","0.38",56441,"1,086,087,954.49","20,609.15","16,002.10","9.46","-0.21"
"COLPAL","1,457.20","1,479.95","1,447.00","1,457.20","1,462.00","4.80","0.33",454634,"665,384,137.04","1,823.40","1,446.00","-2.94","-5.78"
"BIOCON","362.00","373.60","358.90","362.50","362.95","0.45","0.12",3526533,"1,295,436,632.22","487.75","314.80","-13.72","8.68"
"APOLLOHOSP","5,709.00","5,935.40","5,627.45","5,701.05","5,705.70","4.65","0.08",2613669,"15,032,987,713.92","5,935.40","2,236.35","154.34","33.58"
"BRITANNIA","3,560.00","3,635.10","3,533.95","3,573.40","3,566.60","-6.80","-0.19",372530,"1,332,342,369.10","4,153.00","3,317.30","0.49","-3.23"
